,standard,forecast,지역,예보,강수확률(%),popul
75,2019-01-01,2019-01-04,강원영서,구름조금,0.0,770751
76,2019-01-01,2019-01-04,강원영동,구름조금,0.0,770751
77,2019-01-01,2019-01-04,전라북도,구름조금,0.0,1818917
78,2019-01-01,2019-01-04,전라남도,구름조금,0.0,1868745
79,2019-01-01,2019-01-04,경상북도,구름조금,0.0,2665836
80,2019-01-01,2019-01-04,경상남도,구름조금,0.0,3362553
81,2019-01-02,2019-01-05,서울.인천.경기,구름조금,0.0,25925799
82,2019-01-02,2019-01-05,충청북도,구름조금,0.0,1600007
83,2019-01-02,2019-01-05,충청남도,구름조금,0.0,2123709
84,2019-01-02,2019-01-05,강원영서,구름조금,0.0,770751
85,2019-01-02,2019-01-05,강원영동,구름조금,0.0,770751
86,2019-01-02,2019-01-05,전라북도,구름조금,0.0,1818917
87,2019-01-02,2019-01-05,전라남도,구름많음,0.0,1868745
88,2019-01-02,2019-01-05,경상북도,구름조금,0.0,2665836
89,2019-01-02,2019-01-05,경상남도,구름많음,0.0,3362553
90,2019-01-03,2019-01-06,서울.인천.경기,구름조금,0.0,25925799
91,2019-01-03,2019-01-06,충청북도,구름조금,0.0,1600007
92,2019-01-03,2019-01-06,충청남도,구름조금,0.0,2123709
93,2019-01-03,2019-01-06,강원영서,구름조금,0.0,770751
94,2019-01-03,2019-01-06,강원영동,구름많음,0.0,770751
95,2019-01-03,2019-01-06,전라북도,구름조금,0.0,1818917
96,2019-01-03,2019-01-06,전라남도,구름많음,0.0,1868745
97,2019-01-03,2019-01-06,경상북도,구름조금,0.0,2665836
98,2019-01-03,2019-01-06,경상남도,구름많음,0.0,3362553
99,2019-01-04,2019-01-07,서울.인천.경기,구름조금,0.0,25925799
100,2019-01-04,2019-01-07,충청북도,구름조금,0.0,1600007
101,2019-01-04,2019-01-07,충청남도,구름조금,0.0,2123709
102,2019-01-04,2019-01-07,강원영서,구름조금,0.0,770751
103,2019-01-04,2019-01-07,강원영동,구름많음,0.0,770751
104,2019-01-04,2019-01-07,전라북도,구름조금,0.0,1818917
105,2019-01-04,2019-01-07,전라남도,구름조금,0.0,1868745
106,2019-01-04,2019-01-07,경상북도,구름조금,0.0,2665836
107,2019-01-04,2019-01-07,경상남도,구름조금,0.0,3362553
108,2019-01-05,2019-01-08,서울.인천.경기,구름많음,0.0,25925799
109,2019-01-05,2019-01-08,충청북도,구름많음,0.0,1600007
110,2019-01-05,2019-01-08,충청남도,구름많음,0.0,2123709
111,2019-01-05,2019-01-08,강원영서,구름많음,0.0,770751
112,2019-01-05,2019-01-08,강원영동,구름많음,0.0,770751
113,2019-01-05,2019-01-08,전라북도,구름많음,0.0,1818917
114,2019-01-05,2019-01-08,전라남도,구름많음,0.0,1868745
115,2019-01-05,2019-01-08,경상북도,구름많음,0.0,2665836
116,2019-01-05,2019-01-08,경상남도,구름많음,0.0,3362553
117,2019-01-06,2019-01-09,서울.인천.경기,구름조금,0.0,25925799
118,2019-01-06,2019-01-09,충청북도,구름조금,0.0,1600007
119,2019-01-06,2019-01-09,충청남도,구름조금,0.0,2123709
120,2019-01-06,2019-01-09,강원영서,구름조금,0.0,770751
121,2019-01-06,2019-01-09,강원영동,구름조금,0.0,770751
122,2019-01-06,2019-01-09,전라북도,구름조금,0.0,1818917
123,2019-01-06,2019-01-09,전라남도,구름조금,0.0,1868745
124,2019-01-06,2019-01-09,경상북도,구름조금,0.0,2665836
125,2019-01-06,2019-01-09,경상남도,구름조금,0.0,3362553
126,2019-01-07,2019-01-10,서울.인천.경기,구름많음,0.0,25925799
127,2019-01-07,2019-01-10,충청북도,구름많음,0.0,1600007
128,2019-01-07,2019-01-10,충청남도,구름많음,0.0,2123709
129,2019-01-07,2019-01-10,강원영서,구름많음,0.0,770751
130,2019-01-07,2019-01-10,강원영동,구름많음,0.0,770751
131,2019-01-07,2019-01-10,전라북도,구름많음,0.0,1818917
132,2019-01-07,2019-01-10,전라남도,구름많음,0.0,1868745
133,2019-01-07,2019-01-10,경상북도,구름많음,0.0,2665836
134,2019-01-07,2019-01-10,경상남도,구름많음,0.0,3362553
135,2019-01-08,2019-01-11,서울.인천.경기,구름많음,0.0,25925799
136,2019-01-08,2019-01-11,충청북도,구름많음,0.0,1600007
137,2019-01-08,2019-01-11,충청남도,구름많음,0.0,2123709
138,2019-01-08,2019-01-11,강원영서,구름많음,0.0,770751
139,2019-01-08,2019-01-11,강원영동,구름많음,0.0,770751
140,2019-01-08,2019-01-11,전라북도,구름많음,0.0,1818917
141,2019-01-08,2019-01-11,전라남도,구름많음,0.0,1868745
142,2019-01-08,2019-01-11,경상북도,구름조금,0.0,2665836
143,2019-01-08,2019-01-11,경상남도,구름조금,0.0,3362553
144,2019-01-09,2019-01-12,서울.인천.경기,구름조금,0.0,25925799
145,2019-01-09,2019-01-12,충청북도,구름많음,0.0,1600007
146,2019-01-09,2019-01-12,충청남도,구름많음,0.0,2123709
147,2019-01-09,2019-01-12,강원영서,구름조금,0.0,770751
148,2019-01-09,2019-01-12,강원영동,구름많음,0.0,770751
149,2019-01-09,2019-01-12,전라북도,구름많음,0.0,1818917
150,2019-01-09,2019-01-12,전라남도,구름많고 비/눈,0.0,1868745
151,2019-01-09,2019-01-12,경상북도,구름많음,0.0,2665836
152,2019-01-09,2019-01-12,경상남도,흐리고 비/눈,0.0,3362553
153,2019-01-10,2019-01-13,서울.인천.경기,맑음,0.0,25925799
154,2019-01-10,2019-01-13,충청북도,맑음,0.0,1600007
155,2019-01-10,2019-01-13,충청남도,맑음,0.0,2123709
156,2019-01-10,2019-01-13,강원영서,맑음,0.0,770751
157,2019-01-10,2019-01-13,강원영동,맑음,0.0,770751
158,2019-01-10,2019-01-13,전라북도,맑음,0.0,1818917
159,2019-01-10,2019-01-13,전라남도,맑음,0.0,1868745
160,2019-01-10,2019-01-13,경상북도,맑음,0.0,2665836
161,2019-01-10,2019-01-13,경상남도,맑음,0.0,3362553
162,2019-01-11,2019-01-14,서울.인천.경기,구름조금,0.0,25925799
163,2019-01-11,2019-01-14,충청북도,구름조금,0.0,1600007
164,2019-01-11,2019-01-14,충청남도,구름조금,0.0,2123709
165,2019-01-11,2019-01-14,강원영서,구름조금,0.0,770751
166,2019-01-11,2019-01-14,강원영동,구름조금,0.0,770751
167,2019-01-11,2019-01-14,전라북도,구름조금,0.0,1818917
168,2019-01-11,2019-01-14,전라남도,구름조금,0.0,1868745
169,2019-01-11,2019-01-14,경상북도,구름조금,0.0,2665836
170,2019-01-11,2019-01-14,경상남도,구름조금,0.0,3362553
171,2019-01-12,2019-01-15,서울.인천.경기,구름조금,0.0,25925799
172,2019-01-12,2019-01-15,충청북도,구름조금,0.0,1600007
173,2019-01-12,2019-01-15,충청남도,구름조금,0.0,2123709
174,2019-01-12,2019-01-15,강원영서,구름조금,0.0,770751
175,2019-01-12,2019-01-15,강원영동,구름조금,0.0,770751
176,2019-01-12,2019-01-15,전라북도,구름조금,0.0,1818917
177,2019-01-12,2019-01-15,전라남도,구름조금,0.0,1868745
178,2019-01-12,2019-01-15,경상북도,구름조금,0.0,2665836
179,2019-01-12,2019-01-15,경상남도,구름조금,0.0,3362553
180,2019-01-13,2019-01-16,서울.인천.경기,맑음,0.0,25925799
181,2019-01-13,2019-01-16,충청북도,맑음,0.0,1600007
182,2019-01-13,2019-01-16,충청남도,맑음,0.0,2123709
183,2019-01-13,2019-01-16,강원영서,맑음,0.0,770751
184,2019-01-13,2019-01-16,강원영동,맑음,0.0,770751
185,2019-01-13,2019-01-16,전라북도,구름조금,0.0,1818917
186,2019-01-13,2019-01-16,전라남도,구름조금,0.0,1868745
187,2019-01-13,2019-01-16,경상북도,맑음,0.0,2665836
188,2019-01-13,2019-01-16,경상남도,맑음,0.0,3362553
189,2019-01-14,2019-01-17,서울.인천.경기,구름많음,0.0,25925799
190,2019-01-14,2019-01-17,충청북도,구름많음,0.0,1600007
191,2019-01-14,2019-01-17,충청남도,구름많음,0.0,2123709
192,2019-01-14,2019-01-17,강원영서,구름많음,0.0,770751
193,2019-01-14,2019-01-17,강원영동,구름조금,0.0,770751
194,2019-01-14,2019-01-17,전라북도,구름조금,0.0,1818917
195,2019-01-14,2019-01-17,전라남도,구름조금,0.0,1868745
196,2019-01-14,2019-01-17,경상북도,구름조금,0.0,2665836
197,2019-01-14,2019-01-17,경상남도,구름조금,0.0,3362553
198,2019-01-15,2019-01-18,서울.인천.경기,맑음,0.0,25925799
199,2019-01-15,2019-01-18,충청북도,맑음,0.0,1600007
200,2019-01-15,2019-01-18,충청남도,구름조금,0.0,2123709
201,2019-01-15,2019-01-18,강원영서,맑음,0.0,770751
202,2019-01-15,2019-01-18,강원영동,맑음,0.0,770751
203,2019-01-15,2019-01-18,전라북도,구름조금,0.0,1818917
204,2019-01-15,2019-01-18,전라남도,구름조금,0.0,1868745
205,2019-01-15,2019-01-18,경상북도,구름조금,0.0,2665836
206,2019-01-15,2019-01-18,경상남도,구름조금,0.0,3362553
207,2019-01-16,2019-01-19,서울.인천.경기,구름많음,0.0,25925799
208,2019-01-16,2019-01-19,충청북도,구름많음,0.0,1600007
209,2019-01-16,2019-01-19,충청남도,구름많음,0.0,2123709
210,2019-01-16,2019-01-19,강원영서,구름많음,0.0,770751
211,2019-01-16,2019-01-19,강원영동,구름조금,0.0,770751
212,2019-01-16,2019-01-19,전라북도,구름조금,0.0,1818917
213,2019-01-16,2019-01-19,전라남도,구름조금,0.0,1868745
214,2019-01-16,2019-01-19,경상북도,구름조금,0.0,2665836
215,2019-01-16,2019-01-19,경상남도,구름조금,0.0,3362553
216,2019-01-17,2019-01-20,서울.인천.경기,구름많음,0.0,25925799
217,2019-01-17,2019-01-20,충청북도,구름많음,0.0,1600007
218,2019-01-17,2019-01-20,충청남도,구름많음,0.0,2123709
219,2019-01-17,2019-01-20,강원영서,구름많음,0.0,770751
220,2019-01-17,2019-01-20,강원영동,구름많음,0.0,770751
221,2019-01-17,2019-01-20,전라북도,구름많음,0.0,1818917
222,2019-01-17,2019-01-20,전라남도,구름많고 비/눈,0.0,1868745
223,2019-01-17,2019-01-20,경상북도,구름많음,0.0,2665836
224,2019-01-17,2019-01-20,경상남도,구름많고 비/눈,0.0,3362553
225,2019-01-18,2019-01-21,서울.인천.경기,구름조금,0.0,25925799
226,2019-01-18,2019-01-21,충청북도,구름조금,0.0,1600007
227,2019-01-18,2019-01-21,충청남도,구름조금,0.0,2123709
228,2019-01-18,2019-01-21,강원영서,구름조금,0.0,770751
229,2019-01-18,2019-01-21,강원영동,구름조금,0.0,770751
230,2019-01-18,2019-01-21,전라북도,구름조금,0.0,1818917
231,2019-01-18,2019-01-21,전라남도,구름조금,0.0,1868745
232,2019-01-18,2019-01-21,경상북도,구름조금,0.0,2665836
233,2019-01-18,2019-01-21,경상남도,구름조금,0.0,3362553
234,2019-01-19,2019-01-22,서울.인천.경기,구름조금,0.0,25925799
235,2019-01-19,2019-01-22,충청북도,구름조금,0.0,1600007
236,2019-01-19,2019-01-22,충청남도,구름조금,0.0,2123709
237,2019-01-19,2019-01-22,강원영서,구름조금,0.0,770751
238,2019-01-19,2019-01-22,강원영동,구름조금,0.0,770751
239,2019-01-19,2019-01-22,전라북도,구름조금,0.0,1818917
240,2019-01-19,2019-01-22,전라남도,구름조금,0.0,1868745
241,2019-01-19,2019-01-22,경상북도,구름조금,0.0,2665836
242,2019-01-19,2019-01-22,경상남도,구름조금,0.0,3362553
243,2019-01-20,2019-01-23,서울.인천.경기,맑음,0.0,25925799
244,2019-01-20,2019-01-23,충청북도,맑음,0.0,1600007
245,2019-01-20,2019-01-23,충청남도,맑음,0.0,2123709
246,2019-01-20,2019-01-23,강원영서,맑음,0.0,770751
247,2019-01-20,2019-01-23,강원영동,맑음,0.0,770751
248,2019-01-20,2019-01-23,전라북도,맑음,0.0,1818917
249,2019-01-20,2019-01-23,전라남도,맑음,0.0,1868745
250,2019-01-20,2019-01-23,경상북도,맑음,0.0,2665836
251,2019-01-20,2019-01-23,경상남도,맑음,0.0,3362553
252,2019-01-21,2019-01-24,서울.인천.경기,맑음,0.0,25925799
253,2019-01-21,2019-01-24,충청북도,맑음,0.0,1600007
254,2019-01-21,2019-01-24,충청남도,맑음,0.0,2123709
255,2019-01-21,2019-01-24,강원영서,맑음,0.0,770751
256,2019-01-21,2019-01-24,강원영동,맑음,0.0,770751
257,2019-01-21,2019-01-24,전라북도,맑음,0.0,1818917
258,2019-01-21,2019-01-24,전라남도,맑음,0.0,1868745
259,2019-01-21,2019-01-24,경상북도,맑음,0.0,2665836
260,2019-01-21,2019-01-24,경상남도,맑음,0.0,3362553
261,2019-01-22,2019-01-25,서울.인천.경기,구름많음,0.0,25925799
262,2019-01-22,2019-01-25,충청북도,구름많음,0.0,1600007
263,2019-01-22,2019-01-25,충청남도,구름많음,0.0,2123709
264,2019-01-22,2019-01-25,강원영서,구름많음,0.0,770751
265,2019-01-22,2019-01-25,강원영동,구름많음,0.0,770751
266,2019-01-22,2019-01-25,전라북도,구름많음,0.0,1818917
267,2019-01-22,2019-01-25,전라남도,구름많음,0.0,1868745
268,2019-01-22,2019-01-25,경상북도,구름많음,0.0,2665836
269,2019-01-22,2019-01-25,경상남도,구름많음,0.0,3362553
270,2019-01-23,2019-01-26,서울.인천.경기,맑음,0.0,25925799
271,2019-01-23,2019-01-26,충청북도,구름조금,0.0,1600007
272,2019-01-23,2019-01-26,충청남도,구름조금,0.0,2123709
273,2019-01-23,2019-01-26,강원영서,구름조금,0.0,770751
274,2019-01-23,2019-01-26,강원영동,구름많고 눈,0.0,770751
275,2019-01-23,2019-01-26,전라북도,구름조금,0.0,1818917
276,2019-01-23,2019-01-26,전라남도,구름조금,0.0,1868745
277,2019-01-23,2019-01-26,경상북도,구름많음,0.0,2665836
278,2019-01-23,2019-01-26,경상남도,구름조금,0.0,3362553
279,2019-01-24,2019-01-27,서울.인천.경기,구름조금,0.0,25925799
280,2019-01-24,2019-01-27,충청북도,구름조금,0.0,1600007
281,2019-01-24,2019-01-27,충청남도,구름조금,0.0,2123709
282,2019-01-24,2019-01-27,강원영서,구름조금,0.0,770751
283,2019-01-24,2019-01-27,강원영동,구름조금,0.0,770751
284,2019-01-24,2019-01-27,전라북도,구름조금,0.0,1818917
285,2019-01-24,2019-01-27,전라남도,구름조금,0.0,1868745
286,2019-01-24,2019-01-27,경상북도,구름조금,0.0,2665836
287,2019-01-24,2019-01-27,경상남도,구름조금,0.0,3362553
288,2019-01-25,2019-01-28,서울.인천.경기,구름많고 눈,0.0,25925799
289,2019-01-25,2019-01-28,충청북도,구름많음,0.0,1600007
290,2019-01-25,2019-01-28,충청남도,구름많음,0.0,2123709
291,2019-01-25,2019-01-28,강원영서,구름많고 눈,0.0,770751
292,2019-01-25,2019-01-28,강원영동,구름많음,0.0,770751
293,2019-01-25,2019-01-28,전라북도,구름많음,0.0,1818917
294,2019-01-25,2019-01-28,전라남도,구름많음,0.0,1868745
295,2019-01-25,2019-01-28,경상북도,구름많음,0.0,2665836
296,2019-01-25,2019-01-28,경상남도,구름많음,0.0,3362553
297,2019-01-26,2019-01-29,서울.인천.경기,구름조금,0.0,25925799
298,2019-01-26,2019-01-29,충청북도,구름조금,0.0,1600007
299,2019-01-26,2019-01-29,충청남도,구름조금,0.0,2123709
300,2019-01-26,2019-01-29,강원영서,구름조금,0.0,770751
301,2019-01-26,2019-01-29,강원영동,구름조금,0.0,770751
302,2019-01-26,2019-01-29,전라북도,구름조금,0.0,1818917
303,2019-01-26,2019-01-29,전라남도,구름조금,0.0,1868745
304,2019-01-26,2019-01-29,경상북도,구름조금,0.0,2665836
305,2019-01-26,2019-01-29,경상남도,구름조금,0.0,3362553
306,2019-01-27,2019-01-30,서울.인천.경기,구름조금,0.0,25925799
307,2019-01-27,2019-01-30,충청북도,구름조금,0.0,1600007
308,2019-01-27,2019-01-30,충청남도,구름조금,0.0,2123709
309,2019-01-27,2019-01-30,강원영서,구름조금,0.0,770751
310,2019-01-27,2019-01-30,강원영동,구름조금,0.0,770751
311,2019-01-27,2019-01-30,전라북도,구름많음,0.0,1818917
312,2019-01-27,2019-01-30,전라남도,구름많음,0.0,1868745
313,2019-01-27,2019-01-30,경상북도,구름조금,0.0,2665836
314,2019-01-27,2019-01-30,경상남도,구름많음,0.0,3362553
315,2019-01-28,2019-01-31,서울.인천.경기,구름많고 눈,0.0,25925799
316,2019-01-28,2019-01-31,충청북도,구름많고 눈,0.0,1600007
317,2019-01-28,2019-01-31,충청남도,구름많고 눈,0.0,2123709
318,2019-01-28,2019-01-31,강원영서,구름많고 눈,0.0,770751
319,2019-01-28,2019-01-31,강원영동,구름많고 비/눈,0.0,770751
320,2019-01-28,2019-01-31,전라북도,흐리고 비/눈,0.0,1818917
321,2019-01-28,2019-01-31,전라남도,흐리고 비/눈,0.0,1868745
322,2019-01-28,2019-01-31,경상북도,흐리고 비/눈,0.0,2665836
323,2019-01-28,2019-01-31,경상남도,흐리고 비/눈,0.0,3362553
324,2019-01-29,2019-02-01,서울.인천.경기,구름조금,0.0,25925799
325,2019-01-29,2019-02-01,충청북도,구름조금,0.0,1600007
326,2019-01-29,2019-02-01,충청남도,구름조금,0.0,2123709
327,2019-01-29,2019-02-01,강원영서,구름조금,0.0,770751
328,2019-01-29,2019-02-01,강원영동,구름많음,0.0,770751
329,2019-01-29,2019-02-01,전라북도,구름조금,0.0,1818917
330,2019-01-29,2019-02-01,전라남도,구름조금,0.0,1868745
331,2019-01-29,2019-02-01,경상북도,구름조금,0.0,2665836
332,2019-01-29,2019-02-01,경상남도,구름조금,0.0,3362553
333,2019-01-30,2019-02-02,서울.인천.경기,구름조금,0.0,25925799
334,2019-01-30,2019-02-02,충청북도,구름조금,0.0,1600007
335,2019-01-30,2019-02-02,충청남도,구름조금,0.0,2123709
336,2019-01-30,2019-02-02,강원영서,구름조금,0.0,770751
337,2019-01-30,2019-02-02,강원영동,구름조금,0.0,770751
338,2019-01-30,2019-02-02,전라북도,구름조금,0.0,1818917
339,2019-01-30,2019-02-02,전라남도,구름조금,0.0,1868745
340,2019-01-30,2019-02-02,경상북도,구름조금,0.0,2665836
341,2019-01-30,2019-02-02,경상남도,구름조금,0.0,3362553
342,2019-01-31,2019-02-03,서울.인천.경기,흐리고 비,0.0,25925799
343,2019-01-31,2019-02-03,충청북도,흐리고 비,0.0,1600007
344,2019-01-31,2019-02-03,충청남도,흐리고 비,0.0,2123709
345,2019-01-31,2019-02-03,강원영서,흐리고 비/눈,0.0,770751
346,2019-01-31,2019-02-03,강원영동,흐리고 비/눈,0.0,770751
347,2019-01-31,2019-02-03,전라북도,흐리고 비,0.0,1818917
348,2019-01-31,2019-02-03,전라남도,흐리고 비,0.0,1868745
349,2019-01-31,2019-02-03,경상북도,흐리고 비,0.0,2665836
350,2019-01-31,2019-02-03,경상남도,흐리고 비,0.0,3362553
351,2019-02-01,2019-02-04,서울.인천.경기,구름조금,0.0,25925799
352,2019-02-01,2019-02-04,충청북도,구름조금,0.0,1600007
353,2019-02-01,2019-02-04,충청남도,구름조금,0.0,2123709
354,2019-02-01,2019-02-04,강원영서,구름조금,0.0,770751
355,2019-02-01,2019-02-04,강원영동,구름많음,0.0,770751
356,2019-02-01,2019-02-04,전라북도,구름많음,0.0,1818917
357,2019-02-01,2019-02-04,전라남도,구름많음,0.0,1868745
358,2019-02-01,2019-02-04,경상북도,구름조금,0.0,2665836
359,2019-02-01,2019-02-04,경상남도,구름많음,0.0,3362553
360,2019-02-02,2019-02-05,서울.인천.경기,구름조금,0.0,25925799
361,2019-02-02,2019-02-05,충청북도,구름조금,0.0,1600007
362,2019-02-02,2019-02-05,충청남도,구름조금,0.0,2123709
363,2019-02-02,2019-02-05,강원영서,구름조금,0.0,770751
364,2019-02-02,2019-02-05,강원영동,구름조금,0.0,770751
365,2019-02-02,2019-02-05,전라북도,구름조금,0.0,1818917
366,2019-02-02,2019-02-05,전라남도,구름조금,0.0,1868745
367,2019-02-02,2019-02-05,경상북도,구름조금,0.0,2665836
368,2019-02-02,2019-02-05,경상남도,구름조금,0.0,3362553
369,2019-02-03,2019-02-06,서울.인천.경기,구름많음,0.0,25925799
370,2019-02-03,2019-02-06,충청북도,구름많음,0.0,1600007
371,2019-02-03,2019-02-06,충청남도,구름많음,0.0,2123709
372,2019-02-03,2019-02-06,강원영서,구름많음,0.0,770751
373,2019-02-03,2019-02-06,강원영동,구름많음,0.0,770751
374,2019-02-03,2019-02-06,전라북도,구름많음,0.0,1818917
375,2019-02-03,2019-02-06,전라남도,구름많고 비,0.0,1868745
376,2019-02-03,2019-02-06,경상북도,구름많음,0.0,2665836
377,2019-02-03,2019-02-06,경상남도,구름많고 비,0.0,3362553
378,2019-02-04,2019-02-07,서울.인천.경기,구름조금,0.0,25925799
379,2019-02-04,2019-02-07,충청북도,구름많음,0.0,1600007
380,2019-02-04,2019-02-07,충청남도,구름많음,0.0,2123709
381,2019-02-04,2019-02-07,강원영서,구름많음,0.0,770751
382,2019-02-04,2019-02-07,강원영동,구름많음,0.0,770751
383,2019-02-04,2019-02-07,전라북도,구름많음,0.0,1818917
384,2019-02-04,2019-02-07,전라남도,구름많음,0.0,1868745
385,2019-02-04,2019-02-07,경상북도,구름많음,0.0,2665836
386,2019-02-04,2019-02-07,경상남도,구름많음,0.0,3362553
387,2019-02-05,2019-02-08,서울.인천.경기,구름조금,0.0,25925799
388,2019-02-05,2019-02-08,충청북도,구름조금,0.0,1600007
389,2019-02-05,2019-02-08,충청남도,구름조금,0.0,2123709
390,2019-02-05,2019-02-08,강원영서,구름조금,0.0,770751
391,2019-02-05,2019-02-08,강원영동,구름많음,0.0,770751
392,2019-02-05,2019-02-08,전라북도,구름많음,0.0,1818917
393,2019-02-05,2019-02-08,전라남도,구름많음,0.0,1868745
394,2019-02-05,2019-02-08,경상북도,구름많음,0.0,2665836
395,2019-02-05,2019-02-08,경상남도,구름많음,0.0,3362553
396,2019-02-06,2019-02-09,서울.인천.경기,구름조금,0.0,25925799
397,2019-02-06,2019-02-09,충청북도,구름조금,0.0,1600007
398,2019-02-06,2019-02-09,충청남도,구름조금,0.0,2123709
399,2019-02-06,2019-02-09,강원영서,구름조금,0.0,770751
400,2019-02-06,2019-02-09,강원영동,구름많음,0.0,770751
401,2019-02-06,2019-02-09,전라북도,구름많음,0.0,1818917
402,2019-02-06,2019-02-09,전라남도,구름많음,0.0,1868745
403,2019-02-06,2019-02-09,경상북도,구름많음,0.0,2665836
404,2019-02-06,2019-02-09,경상남도,구름많음,0.0,3362553
405,2019-02-07,2019-02-10,서울.인천.경기,구름조금,0.0,25925799
