,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액
52,1591047600000,20,100148,200416,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전," 1,340,000 ",20039992.0
53,1591047600000,20,100148,200419,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전," 1,740,000 ",23302894.0
54,1591047600000,20,100148,200422,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전," 2,490,000 ",29656218.0
55,1591048800000,20,100148,200416,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전," 1,340,000 ",20268718.0
56,1591048800000,20,100148,200419,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전," 1,740,000 ",23512892.0
57,1591048800000,20,100148,200422,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전," 2,490,000 ",29826016.0
58,1591050000000,20,100205,200724,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구," 548,000 ",23315576.0
59,1591050000000,20,100205,200727,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구," 598,000 ",23576862.0
60,1591050000000,20,100205,200730,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구," 648,000 ",23838134.0
61,1591051200000,20,100205,200724,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구," 548,000 ",23315576.0
62,1591051200000,20,100205,200727,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구," 598,000 ",23576862.0
63,1591051200000,20,100205,200730,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구," 648,000 ",23838134.0
64,1591052400000,20,100205,200724,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구," 548,000 ",23365422.0
65,1591052400000,20,100205,200727,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구," 598,000 ",23626702.0
66,1591052400000,20,100205,200730,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구," 648,000 ",23890934.0
67,1591053600000,20,100320,201016,올바로 문어발 샤워기 1+1,생활용품," 54,900 ",33349558.0
68,1591053600000,20,100320,201017,올바로 문어발 샤워기 1세트,생활용품," 28,900 ",32375490.0
69,1591054800000,20,100320,201016,올바로 문어발 샤워기 1+1,생활용품," 54,900 ",33349564.0
70,1591054800000,20,100320,201017,올바로 문어발 샤워기 1세트,생활용품," 28,900 ",32375502.0
71,1591056000000,20,100320,201016,올바로 문어발 샤워기 1+1,생활용품," 54,900 ",27843226.0
72,1591056000000,20,100320,201017,올바로 문어발 샤워기 1세트,생활용품," 28,900 ",26375268.0
73,1591057200000,20,100555,201643,디비손보 아임오케이 암보험(20.05런칭),무형, - ,0.0
74,1591058400000,20,100555,201643,디비손보 아임오케이 암보험(20.05런칭),무형, - ,0.0
75,1591059600000,20,100555,201643,디비손보 아임오케이 암보험(20.05런칭),무형, - ,0.0
76,1591060800000,20,100526,201596,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화," 119,000 ",24576886.0
77,1591062000000,16,100526,201596,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화," 119,000 ",20526840.0
78,1591063200000,20,100526,201596,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화," 119,000 ",24396982.0
79,1591078800000,20,100197,200668,오델로 여성 모자 3종,잡화," 29,900 ",21528298.0
80,1591080000000,20,100197,200668,오델로 여성 모자 3종,잡화," 29,900 ",21528298.0
81,1591081200000,20,100197,200668,오델로 여성 모자 3종,잡화," 29,900 ",22421136.0
82,1591082400000,30,100255,200867,한일 대용량 레드 스텐 분쇄믹서기,주방," 119,800 ",27819798.0
83,1591084200000,30,100255,200867,한일 대용량 레드 스텐 분쇄믹서기,주방," 119,800 ",27819798.0
84,1591086000000,20,100262,200876,더블모 어성초 샴푸,이미용," 59,800 ",24449554.0
85,1591087200000,20,100262,200876,더블모 어성초 샴푸,이미용," 59,800 ",24449554.0
86,1591088400000,20,100262,200876,더블모 어성초 샴푸,이미용," 59,800 ",28350572.0
87,1591089600000,20,100353,201130,마르엘라로사티 린넨 베스트 세트[3월],의류," 39,900 ",26767760.0
88,1591090800000,20,100353,201130,마르엘라로사티 린넨 베스트 세트[3월],의류," 39,900 ",26767760.0
89,1591092000000,20,100353,201130,마르엘라로사티 린넨 베스트 세트[3월],의류," 39,900 ",30347868.0
90,1591093200000,20,100728,202125,자연감성 풍기인견 여성란쥬세트,속옷," 59,900 ",31041136.0
91,1591094400000,20,100728,202125,자연감성 풍기인견 여성란쥬세트,속옷," 59,900 ",31041136.0
92,1591095600000,20,100728,202125,자연감성 풍기인견 여성란쥬세트,속옷," 59,900 ",32085902.0
93,1591096800000,20,100785,202296,전철우냉면25인분,농수축," 40,900 ",33754164.0
94,1591098000000,20,100785,202296,전철우냉면25인분,농수축," 40,900 ",33754164.0
95,1591099200000,20,100785,202296,전철우냉면25인분,농수축," 40,900 ",34194070.0
96,1591100400000,20,100479,201454,라라쎄 쉬폰 롤업재킷 1종,의류," 39,800 ",34441656.0
97,1591101600000,20,100479,201454,라라쎄 쉬폰 롤업재킷 1종,의류," 39,800 ",34441656.0
98,1591102800000,20,100479,201454,라라쎄 쉬폰 롤업재킷 1종,의류," 39,800 ",34216604.0
99,1591104000000,20,100837,202460,CRP-QS107FG/FS 쿠쿠전기밥솥 10인용 2020,주방," 218,000 ",17576902.0
100,1591104000000,20,100837,202459,CRP-P0610FD 쿠쿠전기밥솥 6인용(QS) 2020,주방," 208,000 ",17213452.0
101,1591105200000,20,100837,202460,CRP-QS107FG/FS 쿠쿠전기밥솥 10인용 2020,주방," 218,000 ",17576902.0
102,1591105200000,20,100837,202459,CRP-P0610FD 쿠쿠전기밥솥 6인용(QS) 2020,주방," 208,000 ",17213452.0
103,1591106400000,20,100837,202460,CRP-QS107FG/FS 쿠쿠전기밥솥 10인용 2020,주방," 218,000 ",17463334.0
104,1591106400000,20,100837,202459,CRP-P0610FD 쿠쿠전기밥솥 6인용(QS) 2020,주방," 208,000 ",17099882.0
105,1591107600000,20,100195,200651,레이프릴 데일리 코튼 보정팬티 12종,속옷," 39,900 ",33969050.0
106,1591108800000,20,100195,200651,레이프릴 데일리 코튼 보정팬티 12종,속옷," 39,900 ",33969056.0
107,1591110000000,20,100195,200651,레이프릴 데일리 코튼 보정팬티 12종,속옷," 39,900 ",36865940.0
108,1591111200000,60,100848,202508,TCOM_현대해상 (무)하이콜운전자상해보험,무형, - ,0.0
109,1591114800000,20,100167,200588,유귀열의 귀한 갓김치 5kg,농수축," 30,900 ",38215292.0
110,1591116000000,20,100167,200588,유귀열의 귀한 갓김치 5kg,농수축," 30,900 ",38215292.0
111,1591117200000,20,100167,200588,유귀열의 귀한 갓김치 5kg,농수축," 30,900 ",41827516.0
112,1591118400000,20,100322,201024,피시원 국내산 손질 갑오징어 9팩,농수축," 49,900 ",46028296.0
113,1591119600000,20,100322,201024,피시원 국내산 손질 갑오징어 9팩,농수축," 49,900 ",46028296.0
114,1591120800000,20,100322,201024,피시원 국내산 손질 갑오징어 9팩,농수축," 49,900 ",48617184.0
115,1591122000000,20,100068,200184,캐리어 벽걸이 에어컨 7형 ARC07VBC,가전," 749,000 ",19494256.0
116,1591122000000,20,100068,200186,캐리어 벽걸이 에어컨 9형 ARC09VBC,가전," 849,000 ",18525898.0
117,1591122000000,20,100068,200179,캐리어 벽걸이 에어컨 11형 ARC11VBC,가전," 899,000 ",18259120.0
118,1591122000000,20,100068,200181,캐리어 벽걸이 에어컨 13형 ARC13VBC,가전," 969,000 ",17885616.0
119,1591123200000,20,100068,200184,캐리어 벽걸이 에어컨 7형 ARC07VBC,가전," 749,000 ",19494256.0
120,1591123200000,20,100068,200186,캐리어 벽걸이 에어컨 9형 ARC09VBC,가전," 849,000 ",18525898.0
121,1591123200000,20,100068,200179,캐리어 벽걸이 에어컨 11형 ARC11VBC,가전," 899,000 ",18259120.0
122,1591123200000,20,100068,200181,캐리어 벽걸이 에어컨 13형 ARC13VBC,가전," 969,000 ",17885616.0
123,1591124400000,20,100068,200184,캐리어 벽걸이 에어컨 7형 ARC07VBC,가전," 749,000 ",20289226.0
124,1591124400000,20,100068,200186,캐리어 벽걸이 에어컨 9형 ARC09VBC,가전," 849,000 ",18833530.0
125,1591124400000,20,100068,200179,캐리어 벽걸이 에어컨 11형 ARC11VBC,가전," 899,000 ",18566742.0
126,1591124400000,20,100068,200181,캐리어 벽걸이 에어컨 13형 ARC13VBC,가전," 969,000 ",18193238.0
127,1591125600000,20,100388,201277,4인용 우아미천연가죽소파,가구," 998,000 ",18038498.0
128,1591125600000,20,100388,201279,6인용 우아미천연가죽소파,가구," 1,298,000 ",19243442.0
129,1591125600000,20,100388,201276,3인용 우아미천연가죽소파,가구," 798,000 ",19329172.0
130,1591125600000,20,100388,201258,(단품)우아미리프트업테이블,가구," 189,000 ",18985460.0
131,1591125600000,20,100388,201259,(단품)우아미오토만스툴,가구," 219,000 ",19059050.0
132,1591126800000,20,100388,201277,4인용 우아미천연가죽소파,가구," 998,000 ",18038498.0
133,1591126800000,20,100388,201279,6인용 우아미천연가죽소파,가구," 1,298,000 ",19243442.0
134,1591126800000,20,100388,201276,3인용 우아미천연가죽소파,가구," 798,000 ",19329172.0
135,1591126800000,20,100388,201258,(단품)우아미리프트업테이블,가구," 189,000 ",18985460.0
136,1591126800000,20,100388,201259,(단품)우아미오토만스툴,가구," 219,000 ",19059050.0
137,1591128000000,20,100388,201277,4인용 우아미천연가죽소파,가구," 998,000 ",18348398.0
138,1591128000000,20,100388,201279,6인용 우아미천연가죽소파,가구," 1,298,000 ",19471622.0
139,1591128000000,20,100388,201276,3인용 우아미천연가죽소파,가구," 798,000 ",20124154.0
140,1591128000000,20,100388,201258,(단품)우아미리프트업테이블,가구," 189,000 ",18402850.0
141,1591128000000,20,100388,201259,(단품)우아미오토만스툴,가구," 219,000 ",18812170.0
142,1591129200000,20,100499,201501,하림뼈없는양념닭발세트,농수축," 39,900 ",42883280.0
143,1591130400000,20,100499,201501,하림뼈없는양념닭발세트,농수축," 39,900 ",42883280.0
144,1591131600000,20,100499,201501,하림뼈없는양념닭발세트,농수축," 39,900 ",40801896.0
145,1591132800000,20,100155,200556,일시불 LG전자 매직스페이스 냉장고,가전," 1,359,000 ",20193628.0
146,1591132800000,20,100155,200489,무이자 LG전자 매직스페이스 냉장고,가전," 1,499,000 ",21328154.0
147,1591134000000,20,100155,200556,일시불 LG전자 매직스페이스 냉장고,가전," 1,359,000 ",20193628.0
148,1591134000000,20,100155,200489,무이자 LG전자 매직스페이스 냉장고,가전," 1,499,000 ",21328154.0
149,1591135200000,20,100155,200556,일시불 LG전자 매직스페이스 냉장고,가전," 1,359,000 ",20422352.0
150,1591135200000,20,100155,200489,무이자 LG전자 매직스페이스 냉장고,가전," 1,499,000 ",21554432.0
151,1591136400000,20,100575,201699,무이자 삼성 UHDTV 75형  / KU75UT7000FXKR,가전," 2,230,000 ",27653842.0
152,1591136400000,20,100575,201752,일시불 삼성 UHDTV 75형  KU75UT7000FXKR + 삼성 사운드바HW-T450,가전," 2,100,000 ",26546164.0
153,1591136400000,20,100575,201698,무이자 삼성 UHDTV 65형 KU65UT7000FXKR,가전," 1,590,000 ",22293334.0
154,1591136400000,20,100575,201751,일시불 삼성 UHDTV 65형 KU65UT7000FXKR+삼성 사운드 바 / HW-T450,가전," 1,500,000 ",21562516.0
155,1591136400000,20,100575,201697,무이자 삼성 UHDTV 55형 KU55UT7000FXKR+사운드바HW-T450,가전," 1,170,000 ",18894042.0
156,1591136400000,20,100575,201750,일시불 삼성 UHDTV 55형  KU55UT7000FXKR),가전," 1,100,000 ",18512784.0
157,1591137600000,20,100575,201699,무이자 삼성 UHDTV 75형  / KU75UT7000FXKR,가전," 2,230,000 ",27653842.0
158,1591137600000,20,100575,201752,일시불 삼성 UHDTV 75형  KU75UT7000FXKR + 삼성 사운드바HW-T450,가전," 2,100,000 ",26546164.0
159,1591137600000,20,100575,201698,무이자 삼성 UHDTV 65형 KU65UT7000FXKR,가전," 1,590,000 ",22293334.0
160,1591137600000,20,100575,201751,일시불 삼성 UHDTV 65형 KU65UT7000FXKR+삼성 사운드 바 / HW-T450,가전," 1,500,000 ",21562516.0
161,1591137600000,20,100575,201697,무이자 삼성 UHDTV 55형 KU55UT7000FXKR+사운드바HW-T450,가전," 1,170,000 ",18894042.0
162,1591137600000,20,100575,201750,일시불 삼성 UHDTV 55형  KU55UT7000FXKR),가전," 1,100,000 ",18512784.0
163,1591138800000,20,100575,201699,무이자 삼성 UHDTV 75형  / KU75UT7000FXKR,가전," 2,230,000 ",27829734.0
164,1591138800000,20,100575,201752,일시불 삼성 UHDTV 75형  KU75UT7000FXKR + 삼성 사운드바HW-T450,가전," 2,100,000 ",26722052.0
165,1591138800000,20,100575,201698,무이자 삼성 UHDTV 65형 KU65UT7000FXKR,가전," 1,590,000 ",22519274.0
166,1591138800000,20,100575,201751,일시불 삼성 UHDTV 65형 KU65UT7000FXKR+삼성 사운드 바 / HW-T450,가전," 1,500,000 ",21791250.0
167,1591138800000,20,100575,201697,무이자 삼성 UHDTV 55형 KU55UT7000FXKR+사운드바HW-T450,가전," 1,170,000 ",19051680.0
168,1591138800000,20,100575,201750,일시불 삼성 UHDTV 55형  KU55UT7000FXKR),가전," 1,100,000 ",18604216.0
169,1591140000000,20,100332,201041,실크테라피 오리지널 에센스 패키지,이미용," 49,900 ",34525820.0
170,1591141200000,20,100332,201041,실크테라피 오리지널 에센스 패키지,이미용," 49,900 ",34525820.0
171,1591142400000,20,100332,201041,실크테라피 오리지널 에센스 패키지,이미용," 49,900 ",28966580.0
172,1591143600000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",10387869.0
173,1591143600000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",12274686.0
174,1591143600000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",12274686.0
175,1591144200000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",10387869.0
176,1591144200000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",12274686.0
177,1591144200000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",12274686.0
178,1591144800000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",10387869.0
179,1591144800000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",12274686.0
180,1591144800000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",12274686.0
181,1591145400000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",10387869.0
182,1591145400000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",12274686.0
183,1591145400000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",12274686.0
184,1591146000000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",9188626.0
185,1591146000000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",10942311.0
186,1591146000000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",10942311.0
187,1591146600000,10,100099,200273,[일시불]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 99,000 ",9188626.0
188,1591146600000,10,100099,200272,[무이자]라쉬반 FC바로셀로나 드로즈 패키지,속옷," 119,000 ",10942311.0
189,1591146600000,10,100099,200274,라쉬반 FC바로셀로나 드로즈 8종,속옷," 119,000 ",10942311.0
190,1591147200000,20,100690,202052,팔로모 매트리스 (아르체),무형, - ,0.0
191,1591148400000,16,100690,202052,팔로모 매트리스 (아르체),무형, - ,0.0
192,1591149600000,20,100690,202052,팔로모 매트리스 (아르체),무형, - ,0.0
193,1591165200000,20,100461,201418,크리스티나앤코 시스루앙상블,의류," 39,000 ",21093764.0
194,1591166400000,20,100461,201418,크리스티나앤코 시스루앙상블,의류," 39,000 ",21093764.0
195,1591167600000,20,100461,201418,크리스티나앤코 시스루앙상블,의류," 39,000 ",21898926.0
196,1591168800000,20,100329,201037,LG생활건강 테크 특유취제거 액체세제,생활용품," 39,800 ",21810972.0
197,1591170000000,20,100329,201037,LG생활건강 테크 특유취제거 액체세제,생활용품," 39,800 ",21810972.0
198,1591171200000,20,100329,201037,LG생활건강 테크 특유취제거 액체세제,생활용품," 39,800 ",23285858.0
199,1591172400000,20,100287,200917,실크트리 풍기인견 쿨란쥬 패키지,속옷," 59,900 ",24468198.0
200,1591173600000,20,100287,200917,실크트리 풍기인견 쿨란쥬 패키지,속옷," 59,900 ",24468198.0
201,1591174800000,20,100287,200917,실크트리 풍기인견 쿨란쥬 패키지,속옷," 59,900 ",28367832.0
202,1591176000000,20,100097,200266,무이자 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 129,000 ",20508922.0
203,1591176000000,20,100097,200270,일시불 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 119,000 ",20862390.0
204,1591177200000,20,100097,200266,무이자 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 129,000 ",20508922.0
205,1591177200000,20,100097,200270,일시불 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 119,000 ",20862394.0
206,1591178400000,20,100097,200266,무이자 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 129,000 ",21772638.0
207,1591178400000,20,100097,200270,일시불 올리고 가스와이드그릴레인지 프리미엄형 +버팔로 캠핑쿨러백,주방," 119,000 ",22322388.0
208,1591179600000,20,100275,200900,몬테밀라노 썸머 프린팅 원피스 4종,속옷," 79,900 ",28195558.0
209,1591180800000,20,100275,200900,몬테밀라노 썸머 프린팅 원피스 4종,속옷," 79,900 ",28195558.0
210,1591182000000,20,100275,200900,몬테밀라노 썸머 프린팅 원피스 4종,속옷," 79,900 ",28998830.0
211,1591183200000,20,100804,202368,에버홈 글라스텐 다지기,주방," 59,800 ",32079400.0
212,1591184400000,20,100804,202368,에버홈 글라스텐 다지기,주방," 59,800 ",32079400.0
213,1591185600000,20,100804,202368,에버홈 글라스텐 다지기,주방," 59,800 ",32171880.0
214,1591186800000,20,100137,200368,1+1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 108,000 ",26386526.0
215,1591186800000,20,100137,200369,1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 69,000 ",31526738.0
216,1591188000000,20,100137,200368,1+1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 108,000 ",26386526.0
217,1591188000000,20,100137,200369,1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 69,000 ",31526738.0
218,1591189200000,20,100137,200368,1+1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 108,000 ",26314468.0
219,1591189200000,20,100137,200369,1세트 보국 왕팬 윈큘레이터 BKF-0F435,생활용품," 69,000 ",30635342.0
220,1591190400000,20,100486,201464,AXA손해보험 운전자보험 (2020.05),무형, - ,0.0
221,1591191600000,20,100486,201464,AXA손해보험 운전자보험 (2020.05),무형, - ,0.0
222,1591192800000,20,100486,201464,AXA손해보험 운전자보험 (2020.05),무형, - ,0.0
223,1591194000000,20,100773,202259,엘렌실라 그린 에너지 썬스틱(6+박스마스크),이미용," 39,900 ",33969056.0
224,1591195200000,20,100773,202259,엘렌실라 그린 에너지 썬스틱(6+박스마스크),이미용," 39,900 ",33969056.0
225,1591196400000,20,100773,202259,엘렌실라 그린 에너지 썬스틱(6+박스마스크),이미용," 39,900 ",36865940.0
226,1591197600000,20,100630,201938,오렐리안 풍기인견 브라탑패키지,속옷," 69,900 ",32365986.0
227,1591198800000,20,100630,201938,오렐리안 풍기인견 브라탑패키지,속옷," 69,900 ",32365986.0
228,1591200000000,20,100630,201938,오렐리안 풍기인견 브라탑패키지,속옷," 69,900 ",35948548.0
229,1591201200000,20,100514,201578,해초미인슬림다시마국수세트25인분,농수축," 39,900 ",40399070.0
230,1591202400000,20,100514,201578,해초미인슬림다시마국수세트25인분,농수축," 39,900 ",40399070.0
231,1591203600000,20,100514,201578,해초미인슬림다시마국수세트25인분,농수축," 39,900 ",43952908.0
232,1591204800000,20,100559,201656,제스프리 골드키위 48과,농수축," 40,900 ",44195776.0
233,1591206000000,20,100559,201656,제스프리 골드키위 48과,농수축," 40,900 ",44195776.0
234,1591207200000,20,100559,201656,제스프리 골드키위 48과,농수축," 40,900 ",47285452.0
235,1591208400000,20,100534,202430,현대렌탈케어 정수기 렌탈,무형, - ,0.0
236,1591209600000,20,100534,202430,현대렌탈케어 정수기 렌탈,무형, - ,0.0
237,1591210800000,20,100534,202430,현대렌탈케어 정수기 렌탈,무형, - ,0.0
238,1591212000000,20,100327,201033,[VONIN]보닌 남성기초세트(워터로션),이미용," 54,000 ",46210804.0
239,1591213200000,20,100327,201033,[VONIN]보닌 남성기초세트(워터로션),이미용," 54,000 ",46210804.0
240,1591214400000,20,100327,201033,[VONIN]보닌 남성기초세트(워터로션),이미용," 54,000 ",43529536.0
241,1591215600000,20,100150,200424,LG전자 통돌이 세탁기 TR14WK1(화이트),가전," 499,900 ",22964540.0
242,1591216800000,20,100150,200424,LG전자 통돌이 세탁기 TR14WK1(화이트),가전," 499,900 ",22964542.0
